Submission Date (Central Time),Overall Rating,Comments,FeedbackCategory,Subcategory
10/16/2022,5,Great reading club.,Thanks/Praise,Thanks/Praise
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,3,Everything was fine.,Thanks/Praise,Thanks/Praise
10/16/2022,2,"I submitted an order on the book fair site and the book club site. I found it confusing that these were separate sites. I appreciate that my kids profiles were available on both sides, however i was unable to locate deals from the fliers that the teachers sent home on the book fair site. It was a bit of a learning curve and wasn't all that intuitive. I feel like it would be better if there was just one site and my kids teachers/school could be credited from the sales in one place instead of multiple places.",LOB Confusion,LOB Confusion
10/16/2022,3,"I had to reset my passwords as it's been awhile. Also, I was searching my email for any coupons. Usually we get a Back to School coupon to use.  I really need to order Level O, P, Q, books for my class library. So, hopefully, when I have more time, I can do so easily.  I also looked at items from the Bonus catalog, but didn't find anything. I'm looking for items for my prize box and Christmas gifts for my students.",Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,I love Scholastic so much I want to coordinate a book fair for my school.,LOB Confusion,LOB Confusion
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,Singed me out twice while I was in the middle of looking through the web site,Possible Tech Issue/TRF,Log In Issues
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,This survey popped up before I was able to use the site as planned.,Website,Survey Pop Up
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,Wasn't sure if the points I earned will go to my school or to me as it's a  whole school participation effort.?,LOB Confusion,LOB Confusion
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,Love it,Thanks/Praise,Thanks/Praise
10/16/2022,5,"The two women I spoke to in the Chat were extremely helpful.  One was Melissa, but I do not remember the other woman's name.",Thanks/Praise,Thanks/Praise
10/16/2022,4,I am not sure why I have a balance on my account are we being charged Tax and shipping ?,Account Balance/Payment,Tax
10/16/2022,5,"If you miss the dollar book window, it is hard to get back there.",All Other,All Other
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,love Scholastic!!,Thanks/Praise,Thanks/Praise
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,Is there a way a teacher can use old points and account.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,2,Really miss the $1 books. I can't afford to get a book for each of my students each month.,Price,Price
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,1,"Doesn't wirk, always says no results",Website,Search Function
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,1,Trying to do anything it doesnâ€™t let you â€œsubmitâ€  to order anything,Possible Tech Issue/TRF,Adding Items to Cart
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,1,"It would be really nice if there was a search bar to look for a specific book, trying to find one book that is in many categories description wise is difficult. I am trying to find a book set for my son and doing the grade and age level only gives picture books.",Website,Search Function
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,I was supposed to get a free book if I spent over $25.oo.  This is the second time that I could not find information on the free book.  Did you really want me to order a free book.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,Very happy with scholastic book club.  Only wish you still had books that cost $5.00.  Hard to buy the coupons for students to have a free book that is 5.00 or less when most items cost more than $5.00.,Price,Price
10/16/2022,2,"The site is NOT intuitive, user friendly, or easy to navigate.",Website,Performance/Navigation/General
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,"This year I have seen a COMPLETE return to the excellent service provided by your company!  Thank goodness!  In the past two years, I was really having a hard time ""selling"" the idea of buying books through Scholastic to the parents of my 2nd Graders.  I hope that what I have seen so far continues to be the service I received for many years, pre-pandemic.  Many thanks, Scholastic!  A+ for you from this teacher!  -Gail Klein  Madison, WI",Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,"When typing in the names of my students for my roster, the system wouldn't take hyphenated names. For example, Jane Doe-Smith, or Ja'ceejay Sample. Please allow us to input names exactly as we have been instructed by parents. Also, I've waited for MONTHS for flyers, yet they never come for me. ??? My new school is McLaurin Elementary and NOT North Vista Elementary. Thank you!",Kits,Kits
10/16/2022,5,I was concerned because last school year I was unable to access the website at all because it would repeatedly reload and glitch back to the first page and not allow me to click any buttons- thank you so much for fixing this!,Thanks/Praise,Thanks/Praise
10/16/2022,4,I love this site for teacher resources as well as for my students! The only thing I find hard to navigate is finding the $ Book of the Week.,Website,Search Function
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,i was first directed to a spam site when trying to access the 5th grade catalog.,Website,Digital Flyer
10/16/2022,4,I really like that you can not only buy books for the class but you can earn points on your own purchases to go toward rewards for my son's class. That's super fun!,Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,2,"Its difficult to manage overall lists (they dont appear unless theres one book in it).  Is there any way to share their lists with friends/family and keep track of what is purchased?  Can I share this as a fundraiser for family friends to purchase through us for their own? No, not that I am aware.",All Other,All Other
10/16/2022,4,It is frustrating not having as many choices for books in Spanish as well as not having as good deals as on the English side,Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,I had a parent order late to the October order that I needed to submit. I was so happy to see that Scholastic wasn't going to charge me the S & H for her order and I'm hopeful they will all ship in the same box.,Possible Tech Issue/TRF,Submitting Parent Order
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,Website is easy to navigate! I love the option to send to the classroom instead of paying shipping and also getting a free book!,Thanks/Praise,Thanks/Praise
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,Navigation is a bit wonky and it is sometimes hard to find your way back to the homepage.,Website,Performance/Navigation/General
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,Scholastic always offers the best price on books.  This time the delivery time was much better.,Thanks/Praise,Thanks/Praise
10/16/2022,2,No Comment,No Comment,No Comment
10/16/2022,3,Difficult setting up emails for students,All Other,All Other
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,Easy to use.,Thanks/Praise,Thanks/Praise
10/16/2022,5,Love ordering books every month!,Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,"Please bring back $1 books so teachers are able to buy gifts for their students, especially at the holidays and end of the year. Thank you for your time.",Price,Price
10/16/2022,5,"Didnâ€™t finish my order because of this survey. But, I do love scholastic book club!",Website,Survey Pop Up
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,I did not see any hard cover books for my daughter school year.,Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/16/2022,5,I love being able to order online!,Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No comments at all! Site is great!!,Thanks/Praise,Thanks/Praise
10/16/2022,3,Awesome stuff! I remember Scholastic from when I was a kid!,Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,"On the main page, it says I can enter my teacher order. I clicked on ""points"" and it still didn't use points. It said my total cost $62, rather than using points. I had to delete everything, and then go in one by one again on the main screen where I would use the search bar for a book, click on points, etc.",Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,Easy. Thanks!,Thanks/Praise,Thanks/Praise
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,I have used this site for many years. Very user Friendly!!! I will be back to order for my students and my grandchildren.,All Other,Intending Future Order
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,I had to log onto 2 different devices in order to be able to log in,Possible Tech Issue/TRF,Log In Issues
10/16/2022,3,I find it difficult to navigate and find certain books. I was trying to find a certain book and every time I searched for it it didn't show up. Then somehow I got to a different area of the website and searched it up again just to see and it was there. I have no idea what I did or how I even got there.,Website,Search Function
10/16/2022,3,I find it difficult to navigate and find certain books. I was trying to find a certain book and every time I searched for it it didn't show up. Then somehow I got to a different area of the website and searched it up again just to see and it was there. I have no idea what I did or how I even got there.,LOB Confusion,LOB Confusion
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,5,This site has greatly improved from even a year ago!,Thanks/Praise,Thanks/Praise
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,4,No Comment,No Comment,No Comment
10/16/2022,5,No Comment,No Comment,No Comment
10/16/2022,3,The website is not easy to navigate.  Perhaps it will be easier as I spend more time on it.,Website,Performance/Navigation/General
10/16/2022,3,I'm so disappointed that I cannot purchase certain items like the $1-$2 sale books with my points. I don't want to spend money if I have so many points to use. The teachers bring you all your business and you used to have great rewards for us to show your appreciation.,Bonus Points/Rewards/Promos,Bonus Points/Rewards/Promos
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,2,We followed teacher instructions and were lost.  Teacher gave code to use. Suggestion: Have an entry for code from educator to take visitor to puchase.,Connecting Teacher/Class Code,Connecting Teacher/Class Code
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,"With there was the ability to purchase individual ""Who Was"" and ""Where Is"" books.",Product Variety/Inventory,Single Titles vs Bundles
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,Easy to add bonus books and offers.,Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,Thank you for always having a great selection of books.,Thanks/Praise,Thanks/Praise
10/15/2022,5,Your book clubs are our favorite!  Thank you for continuing to provide wonderful books for my young learners to build their own home libraries.,Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,4,It was my first teacher/classroom submission so I muddled through. I was able to find all the information necessary to submit successfully.  I just had to navigate a few windows before finding my way to the checkout process. I do wonder why books are priced differently depending on the flyer. I do not believe that is honest or helpful for the user/consumer.,Price,Price
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,4,It was my first teacher/classroom submission so I muddled through. I was able to find all the information necessary to submit successfully.  I just had to navigate a few windows before finding my way to the checkout process. I do wonder why books are priced differently depending on the flyer. I do not believe that is honest or helpful for the user/consumer.,Price,Price
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,"Its difficult to find books. The flyer is odd to click. There are so many options (grade, age, child's interests etc) yet the book results seemed to be the same. It just isn't an enjoyable website to navigate",Website,Digital Flyer
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,Will not let me check out with PayPal.  What am I doing wrong  ???,Account Balance/Payment,Account Balance/Payment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,Every thing went smoothly.,Thanks/Praise,Thanks/Praise
10/15/2022,5,i will return another day with my order i have to make up my mind.,All Other,Intending Future Order
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,1,"WE NEED THE BATTLE FOR DREAM ISLAND OFFICIAL CHARACTER GUIDE BACK,NOW!!!!!!!! AS A PARENT, MY SON HAS BEEN BOTHERING ME TO GET THIS BOOK BUT EVERY TIME I CHECK,  ITS NEVER THERE SO I NEED THIS BOOK ON THE WEBSITE!!!!!!!!!!",Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,1,"I have had money taken out of my account this weekend October 14, 2022 for an order that was placed in September, paid for in September and delivered in September. Order number69921222. I will not be using Scholastic anymore.",Account Balance/Payment,Account Balance/Payment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,1,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,I've been away for several years and am returning to get my students reading!,Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,Its not easy to search for a specific book,Website,Search Function
10/15/2022,4,Can we have an updated list of inflation buster bundles please?,All Other,All Other
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,I like the selection of books and bundles.,Thanks/Praise,Thanks/Praise
10/15/2022,5,I haven't ordered anything since the last order when there was a lot of shipping problems and it really messed me up with parents.  My order deadline is next week.  I'm curious to see how long shipping is these days.  Fingers crossed:),All Other,Hopeful Shipping Improves this Year
10/15/2022,5,I love that parents can order online at home. Even grandparents have ordered with my code this year!,Thanks/Praise,Thanks/Praise
10/15/2022,2,"I have a credit balance for the Book Club site, but am unable to use it. There are no instructions on how to use this balance, and Iâ€™ve had to rebuild my cart several times. Itâ€™s just very frustrating.",Account Balance/Payment,Account Balance/Payment
10/15/2022,2,"I have a credit balance for the Book Club site, but am unable to use it. There are no instructions on how to use this balance, and Iâ€™ve had to rebuild my cart several times. Itâ€™s just very frustrating.",Possible Tech Issue/TRF,Adding Items to Cart
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,Brings back great memories when I am here ordering for my grandchild,Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,I absolutely love this program! The books are affordable and I love that the teachers are able to benefit for their classrooms.,Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,Thank you for the $1 and $2 deals.  It gives us a chance to try books we normally wouldn't.,Price,Price
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,"going back and forth from adding a book to continuing shopping. having to click on the arrow on google search instead of on web site to go back to list for shopping. Hardcover books. Not very many hardcover Thanksgiving books are available. Plus, my orders were delivered during our fall break and are being sent back to the sender. I am worried about my parents' orders not being delivered on time. Like last year I had a challenging time with UPS delivering.",Website,Performance/Navigation/General
10/15/2022,3,"going back and forth from adding a book to continuing shopping. having to click on the arrow on google search instead of on web site to go back to list for shopping. Hardcover books. Not very many hardcover Thanksgiving books are available. Plus, my orders were delivered during our fall break and are being sent back to the sender. I am worried about my parents' orders not being delivered on time. Like last year I had a challenging time with UPS delivering.",Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/15/2022,3,"going back and forth from adding a book to continuing shopping. having to click on the arrow on google search instead of on web site to go back to list for shopping. Hardcover books. Not very many hardcover Thanksgiving books are available. Plus, my orders were delivered during our fall break and are being sent back to the sender. I am worried about my parents' orders not being delivered on time. Like last year I had a challenging time with UPS delivering.",All Other,Hopeful Shipping Improves this Year
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,"I wish you had more books priced $5 and below.  I wish the Press Start books were bound better.  They keep falling apart, and we are gentle with our books.  I wish you offered more Christian titles.",Price,Price
10/15/2022,3,Great Grand mother  sending books to Alaska after retiring from 32 years in Early Education in Elementary  School at MPUSD. Monterey Peninsula CA   Promoting READING IS FUN!!,Thanks/Praise,Thanks/Praise
10/15/2022,3,I am ordering for a student,All Other,All Other
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,Too hard to figure out my account number to fill out slip and envelope to send in check.,Account Balance/Payment,Account Balance/Payment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,It has been awhile.  I wasn't sure where to find the  Pick a Pack.  Now I know it comes at checkout.,Website,Performance/Navigation/General
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,"I've always loved Scholastic! I've always told families it's an affordable way to get books into their children's hands.  However, it isn't as affordable as it once was. I'm sure with COVID and inflation, there are reasons why the books aren't as inexpensive as they once were but I know that teachers and families are noticing the change.",Price,Price
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,"At first I was confused as to when I selected my earned free books, but once I clicked submit, it was clear and I remembered from last time. I appreciate the ""sort by grade level"" feature.",Thanks/Praise,Thanks/Praise
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,3,Placed a book order on 9/7/2022 itâ€™s still processing.,Shipping/Delivery,Delayed/Never Received Order
10/15/2022,2,I would like all the grades I am working with to have a Top Picks Section. I am using this for a small special education school to support our library.    I would also not want to show anything but books.,Website,Search Function
10/15/2022,5,No Comment,No Comment,No Comment
10/15/2022,5,easy to use,Thanks/Praise,Thanks/Praise
10/15/2022,4,No Comment,No Comment,No Comment
10/15/2022,5,No Comment,No Comment,No Comment
10/14/2022,3,The site only has a parent for the account.  We are actually the grandparents and it would be nice to have that as an option,All Other,All Other
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,"It's a little confusing trying to figure out what I can or can't order as a part of my child's teacher's order. Can I order anything? If I can order off of other flyers, I probably would.",LOB Confusion,LOB Confusion
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,Very well organized,Thanks/Praise,Thanks/Praise
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,3,"I ordered books over a month ago and they never arrived at my daughter's school. Therefore, I'm not too confident in ordering again.",Shipping/Delivery,Delayed/Never Received Order
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,"If shipping is going to be charged on paper orders below $25.00, there needs to be a better way to pass this charge on to families.  It's not fair for me as the teacher to have to pay this or tell a parent they need to send more money for an order.  A solution to this problem would be great.",Shipping/Delivery,Shipping Fee
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,it was a good experience.,Thanks/Praise,Thanks/Praise
10/14/2022,4,"CONNECTED TO MY DAUGHTER'S CLASS, WILL SHOP SOON.",All Other,Intending Future Order
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,"It's rather frustrating to find books on the regular Scholastic store but not be able to find those same books in the Book Clubs store. I have a child that likes to read and I'd love to support both his personal reading choices as well as his school/classroom by ordering through the Book Clubs. But so many of the books in the Club section are just the first few in a series and he's already read those. I'd love to get him more books from Rick Riordan that are similar to Percy Jackson, like the Kane Chronicles boxed set, but those aren't available through the Clubs.",LOB Confusion,LOB Confusion
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,3,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,Love the dollar store!!!,Thanks/Praise,Thanks/Praise
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,I appreciate the work you have done to improve the ordering and delivery process since last year! Thank you!,Thanks/Praise,Thanks/Praise
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,site kept freezing...not sure if it was scholastic or my Internet though,Website,Performance/Navigation/General
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,I find it user friendly! The only time I struggle is sometimes remembering how to to find my class roster and the flyer.,Connecting Teacher/Class Code,Connecting Teacher/Class Code
10/14/2022,4,"I would like some good classic books to be more available and advertised.  The ""woke"" books turn me off to ordering for my child.",Product Variety/Inventory,Lacking Variety/Specific Product Not Offered
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,4,Wish i could push through late parent orders to catch up to the one already submitted 4 hours before.,Possible Tech Issue/TRF,Submitting Parent Order
10/14/2022,4,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,3,I am unhappy to have to provide my children's names.  The parent placing the order should be the only name needed.  If a parent wants to share their child's name that should be made optional.,All Other,All Other
10/14/2022,3,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,3,No Comment,No Comment,No Comment
10/14/2022,5,Much easier order like this ty,Thanks/Praise,Thanks/Praise
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,3,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
10/14/2022,5,No Comment,No Comment,No Comment
